,0
sisso_13229,0.7184787247686095
sisso_31770,0.7137186248471111
sisso_31819,0.7137186248471111
sisso_48469,0.7107718003763912
sisso_02923,0.7094599140982375
sisso_12663,0.7083464222431419
sisso_36169,0.7081087643378569
sisso_11535,0.707692462869424
sisso_12582,0.7069693784122686
sisso_29064,0.7062000151538527
sisso_43660,0.7055688775714237
sisso_23611,0.7049485294966267
sisso_34911,0.7046327158002024
sisso_18595,0.7041727685931459
sisso_33537,0.7036436192771385
sisso_24871,0.7030426071428104
sisso_12149,0.7028834282065509
sisso_43807,0.7021235203836346
sisso_43758,0.7021235203836346
sisso_16032,0.7019004202529757
sisso_12705,0.7018690821990227
sisso_37142,0.701399062440099
sisso_46891,0.7009115760500322
sisso_37978,0.7006694904014804
sisso_13083,0.7000587296146262
sisso_31484,0.6999428507730204
sisso_03172,0.6998463453510219
sisso_21585,0.6997296046698345
sisso_18650,0.6990739734297334
sisso_08795,0.6988609577880723
sisso_42391,0.6986966103796024
sisso_07989,0.6982411570405518
sisso_13047,0.6981024800612442
sisso_17067,0.6979554488061401
sisso_17065,0.6979554488061401
sisso_04713,0.697703313550895
sisso_10848,0.6972166471624853
sisso_00356,0.6972056131004579
sisso_36235,0.6972056131004579
sisso_49299,0.6961624175258727
sisso_35920,0.6961078388519966
sisso_44089,0.6960232351848809
sisso_41392,0.6959115613176189
sisso_11108,0.6957033139785963
sisso_14053,0.695599142514162
sisso_42439,0.6951822389427545
sisso_44960,0.6951196963510222
sisso_30393,0.6949396060109113
sisso_32385,0.6948762695570455
sisso_42799,0.6942129387667413
sisso_42983,0.6942129387667413
sisso_41717,0.6941797496190634
sisso_41708,0.6941797496190634
sisso_36847,0.6938252444488163
sisso_49139,0.6938151480233806
sisso_23022,0.6937925653215903
sisso_49166,0.6935836469928198
sisso_06144,0.6935573815327455
sisso_17872,0.6935204238427759
sisso_43187,0.6932173069356079
sisso_44909,0.6932017096696184
sisso_04080,0.6931726025125332
sisso_15772,0.6926244721405636
sisso_33983,0.6926117735744152
sisso_33407,0.6926117735744152
sisso_33811,0.6926117735744152
sisso_16171,0.6924802960831987
sisso_20587,0.6917906110926578
