SMILES,rotational_entropy,one_dim_trans_entropy,symmetry
C[C@H]1CC[N@+]2(CCC[C@@H]3CCCC[C@@H]32)CC1,0.13913559677790802,0.060777086052553254,1.0
CC[N+](C)(C(C)C)C(C)C,0.12826378643109995,0.058978294142115396,1.0
CCN(CC)CCO,0.1247489704840064,0.05811377248240584,1.0
C1OCOCO1,0.1025368073153348,0.05701984833932023,3.0
CC[C@H](C)N,0.11222739467905914,0.056153837896053826,1.0
C1COCCOCCOCCOCCN1,0.14040274627583096,0.06071844595657105,1.0
CC(C)[N+](C)(C)C,0.11949667378991677,0.05754476325660646,1.0
CCCC[N+](C)(C)C1CCCCC1,0.13719943803428067,0.05999702427526767,1.0
C[N+]1(C)CCC2(CC1)OCCO2,0.1310371248147488,0.059714812475838035,1.0
CC[N+]1(C)C(C)(C)CCCC1(C)C,0.13311280412916437,0.05999702427526767,1.0
CC12CC3C[C@@](C)(C1)C[C@](N)(C3)C2,0.12584243672463377,0.05988178402801774,2.0
CC12CC3C[C@@](C)(C1)C[C@]([NH3+])(C3)C2,0.13177969292731026,0.05990508905566472,1.0
C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,0.13843186572060195,0.06046494227224944,1.0
C[N@@+]1(Cc2ccccc2)CCC[C@@H]1CO,0.13846118274383148,0.06046494227224944,1.0
C[N@+]1(Cc2ccccc2)CCC[C@H]1CO,0.13795473597606245,0.06046494227224944,1.0
C[N@+]1(Cc2ccccc2)CCC[C@@H]1CO,0.13766853072815496,0.06046494227224944,1.0
C[P+](C)(C)C,0.09360557717437336,0.05706737753446073,12.0
CN(C)CCCNCCCN(C)C,0.1412259015431238,0.06006377799938405,1.0
OCCN(CCO)CCN(CCO)CCO,0.14384498911483418,0.061029402521991266,1.0
C[P+](C)(c1ccccc1)c1ccccc1,0.13334597202800255,0.0606414245105614,2.0
CC(C)[C@@H]1CCCC[N+]1(C)C,0.13021289268469277,0.059310717734076666,1.0
CC(C)[C@H]1CCCC[N+]1(C)C,0.13021297604103366,0.059310717734076666,1.0
CC1(C)C[C@H]2C[C@@](C)(C1)C[N+]2(C)C,0.1329128486693691,0.059951310798306144,1.0
CC1(C)C[C@@H]2C[C@](C)(C1)C[N+]2(C)C,0.1329129320787853,0.059951310798306144,1.0
CC[N+](CC)(CC)CC,0.11490754270678723,0.05855311058716418,4.0
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0.13212076771853445,0.059901421632480224,1.0
CC[N+]1(CC)C[C@H]2[C@H]3C=C[C@H](C3)[C@H]2C1,0.13488279086780502,0.06017317447886056,1.0
Cc1cn(C)c[n+]1C,0.12146719932907304,0.05789439103263866,1.0
CC[N+]1(CC)CC[C@@H]2CCCC[C@H]2CC1,0.1330706758999443,0.060546274933959886,2.0
CC[N+]1(CC)CC[C@@H]2CCCC[C@@H]2CC1,0.13836658930359977,0.060546274933959886,1.0
CC[N+]1(CC)CC[C@H]2CCCC[C@@H]2CC1,0.1388141214142948,0.060546274933959886,1.0
C[N+]1(C)C[C@@H]2CCC[C@H]1[C@@H]1CC[C@H]2C1,0.13301048533701382,0.06021652461203189,1.0
C[N+]1(C)C[C@H]2CCC[C@@H]1[C@@H]1CC[C@H]2C1,0.1330077539878334,0.06021652461203189,1.0
C[N+]1(C)C[C@@H]2CCC[C@H]1[C@H]1CC[C@@H]2C1,0.13300761678785966,0.06021652461203189,1.0
C[N+]1(C)C[C@H]2CCC[C@@H]1[C@H]1CC[C@@H]2C1,0.13306217464724146,0.06021652461203189,1.0
CCC[N+]12CCC(CC1)CC2,0.12974274565527713,0.05925674538373383,1.0
CCNCCNCC,0.1251146344207352,0.05807871901168971,1.0
Cn1cc[n+](Cc2ccccc2)c1,0.134494503084675,0.05973866186939303,1.0
CN(CCO)CCO,0.12449630487647674,0.0581831445377138,1.0
C[N+]1(C)C[C@H]2CC[C@H](C2)C1,0.12548216123622796,0.05886046500854938,1.0
CCCn1cc[n+](CCC)c1,0.1315418704738054,0.05922895163686054,1.0
CCn1cc[n+](Cc2ccccc2)c1C,0.13807000791130244,0.06036261830942754,1.0
CC[N+]1(CC)CCC[C@H]2CCCC[C@H]21,0.135701152693444,0.06025942736650932,1.0
