,syn,E_F,dE_Oa,dE_Om,dE_S,dE_fOa,dE_fOm,dE_fS,lC_Oa,lC_Om,lC_S,lD_Oa,lD_Om,lD_S,lC_fOa,lC_fS,lD_fS
52522,0.0,10.90220690455905,-7.900986563085908,-86.91085219394499,-7.242571016162082,3.992330060069418,43.9156306607636,3.6596358883969664,-5.237825585423715,-34.730604755107194,-6.781462500814442,-4.5673848478515495,-4.937484815595351,-5.625706897600875,-6.900072150117423,-6.781462500814442,-5.001095954409049
47839,0.0,12.35267316385989,-3.859141577771456,-138.92909679977242,-3.8591415777714553,8.493531586088434,305.7671370991836,8.493531586088434,-7.140904794186539,-66.60032872613696,-7.78443716654303,-4.363788330800193,-24.50626556410172,-5.835397831654494,-7.968037207895455,-7.78443716654303,-5.727756659040657
72825,0.0,12.366386530114529,-4.657499142941777,-158.35497086002042,-10.418090188159235,0.8710030705211887,29.614104397720418,1.9482963419552903,-6.958887655101949,-72.46421999806722,-6.472987654779969,-4.099067532139685,-12.44521010233472,-3.595023990032825,-6.565288094019168,-6.472987654779968,-3.50684339508491
44039,0.0,10.980915946736786,-3.1017758840108054,-133.37636301246462,-3.704898972568462,6.091549094652551,261.9366110700597,7.276016974168325,-7.391564361838919,-93.82514202561596,-7.261213494251869,-4.390336842934192,-26.029539688134665,-5.667632698764753,-7.0294623006416606,-7.261213494251869,-5.061332782132636
48361,0.0,12.35267316385989,-4.657572978532451,-163.01505424863578,-4.528195951350994,8.048033704294864,281.68117965032025,7.824477212508896,-6.900831742938071,-59.3581419941546,-7.583265312876852,-4.17422137083843,-16.753479118596566,-5.722215637306669,-7.834084515522668,-7.583265312876852,-5.593667284149482
48989,0.0,12.087409594733916,-1.6554681314717783,-61.2523208644558,-2.7841964029298087,5.531640276207847,204.6706902196904,9.303213191804106,-7.035164811040313,-40.20394486957353,-6.711082332449569,-5.078088350333944,-44.09109244855546,-6.057696074836673,-5.822726695197986,-6.711082332449569,-5.8064781257875495
52585,0.0,10.90220690455905,-1.384476069509864,-47.07218636333538,-3.9226821969446153,2.463361661510977,83.7542964913732,6.979524707614433,-7.197215654745103,-46.709329607995954,-7.779689571888505,-5.143572377848788,-48.0805347801716,-5.845767176439351,-6.440340596029552,-7.779689571888505,-5.279192943271928
759,0.0,13.544874256830775,-6.136413825984048,-165.6831733015693,-13.806931108464108,-0.1164697118370365,-3.1446822195999857,-0.2620568516333321,-6.32088741349167,-42.329862651622015,-6.273420596060284,-3.988097118969985,-5.058725042418279,-3.0622176027750303,-6.346296938069476,-6.273420596060284,-3.3538550608187325
53129,0.0,11.76457536073612,-4.435542249248421,-186.2927744684337,-11.643298404277106,0.04620074531772,1.9404313033442409,0.121276956459015,-7.010237756476849,-14.4161132596869,-6.423143267943819,-4.130004446382812,-23.112462171881823,-2.987356954440464,-6.4980364563191575,-6.423143267943819,-2.5895473896272083
57625,0.0,13.920166149528514,-3.945924413355509,-118.37773240066528,-5.5489562062811855,5.95286040408699,178.5858121226097,8.37120994324733,-6.951433041235773,-61.87698094310838,-7.310657165340084,-4.556930021768845,-21.3383639022928,-5.3622282714324,-7.45383094195359,-7.310657165340084,-5.656762736944532
14470,0.0,13.31493400996285,-5.269025238420458,-131.72563096051144,-8.232851935031965,3.252532527955766,81.31331319889415,5.082082074930884,-6.0006209431546,-26.813562473761785,-6.636245753606707,-4.348304633005747,-10.344001695001497,-4.340126575556192,-6.377230177169984,-6.636245753606707,-4.617926993299418
28722,0.0,14.258224208076747,-3.911586200690209,-117.34758602070627,-9.16778015786768,2.171922794755869,65.15768384267608,5.090444050209069,-7.292638372370424,-92.48665800911658,-7.618195441167075,-4.442175090072644,-20.8318301433652,-4.19880919263491,-7.154084181204617,-7.618195441167075,-4.682897605638192
57865,0.0,13.920166149528514,-3.875796812424324,-193.7898406212162,-9.08389877911951,2.063474078041175,103.17370390205876,4.836267370409004,-6.97251906956111,-39.20200234841413,-6.247767543713791,-4.061951683153945,-16.187344733255735,-3.777005638434426,-6.284366862900675,-6.247767543713791,-3.965811525292756
34047,0.0,13.533427228906206,-2.3643165077448263,-151.31625649566888,-1.5762110051632174,17.935824335614484,1147.892757479327,11.95721622374299,-7.488967270934924,-44.43137429620812,-8.452668987944909,-3.623439853526949,-42.34406274177064,-4.539553029265774,-10.788453000645369,-8.452668987944909,-4.578361578839727
39486,0.0,14.191663110572785,-4.671830467998154,-172.8577273159317,-10.168101606819514,1.848663393616369,68.40054556380565,4.023561503753274,-7.056020961125156,-56.1973595107355,-6.914482603269974,-4.110812070489392,-13.898363606495195,-3.674516265159389,-6.816841335516529,-6.914482603269974,-4.172719485361038
57092,0.0,13.761567110032695,-4.568083299866176,-137.04249899598528,-8.56515618724908,2.7714191588179284,83.14257476453786,5.196410922783616,-6.863218337835706,-31.655661676547748,-6.919837310277711,-4.53953818585614,-19.121978262713693,-4.578866598799132,-6.808729057876245,-6.919837310277711,-4.792416720125597
9761,0.0,13.631179979897874,-3.538501727793101,-265.38762958448257,-8.29336342451508,2.2774683969633256,170.8101297722494,5.337816555382794,-7.334392038203662,-36.529838965232095,-7.789293250528114,-2.3191317890441034,-27.58224706813463,-1.4771322302866263,-7.204971387867646,-7.789293250528114,-1.4027747091739493
58776,0.0,14.285780665551048,-3.710420600959293,-189.23145064892395,-7.884643777038497,3.0122997122412003,153.62728532430123,6.401136888512551,-5.588513941312732,-9.798279809824916,-5.794388785866751,-3.9989039403429434,-17.69593246982887,-3.9162160685999705,-5.577554032191631,-5.79438878586675,-4.230296185491572
33675,0.0,12.087290404042482,-3.055215106917911,-122.20860427671644,-4.3645930098827295,5.405888175911827,216.2355270364731,7.722697394159753,-7.496093384101631,-102.28016179798811,-7.912229631504578,-4.398093834267616,-28.43420238989956,-5.444181933770719,-7.4840964145218685,-7.912229631504578,-5.261633389215243
45720,0.0,11.948867556115635,-6.165298368928278,-203.4548461746332,-9.082805632796124,1.9454480934047595,64.19978708235706,2.8660619233195117,-6.663707526603208,-82.82940150589637,-6.870391387547382,-3.906463503112138,-10.150152981578998,-3.930937629148197,-6.904254187832685,-6.870391387547382,-3.807980530534255
30592,0.0,10.91743908157626,-4.5432499655525564,-163.55699875989202,-5.8413213842818585,3.9480915423400895,142.13129552424326,5.076117697294402,-6.6838151902197325,-24.83246188661888,-6.66992564722166,-4.018617724442477,-11.079403306649,-4.83344250253317,-6.630858603104678,-6.66992564722166,-4.313442120701953
29920,0.0,11.79409781707738,-6.507710035614696,-156.18504085475269,-9.761565053422045,1.3550218424368918,32.520524218485406,2.032532763655338,-6.362034617745037,-24.84547820005256,-6.9617459362128855,-4.060490980982379,-4.379602423093882,-4.460304872247236,-6.851723563480123,-6.961745936212886,-4.287365676646581
1656,0.0,11.423608244788255,-5.145046663367517,-190.36672654459807,-7.931946939358259,2.264861387305946,83.79987133032,3.49166130543,-6.618959786639928,-9.793764590820224,-6.311718574234248,-3.7991988290300673,-7.972353571447281,-4.464162840465281,-6.399555830726431,-6.3117185742342485,-4.080151571946357
36333,0.0,14.561583408264935,-5.799381652581935,-69.59257983098321,-11.59876330516387,1.481410051550533,17.776920618606397,2.962820103101066,-6.5124366477806985,-69.81036108288082,-5.829148548834154,-4.870666852814399,-13.971935306193853,-4.371312962337541,-6.069969770176155,-5.829148548834154,-4.68836487769062
22136,0.0,11.81922073684716,-5.2497238655704885,-262.4861932785244,-7.030880177103333,3.575294284608725,178.76471423043628,4.788340559743829,-6.852676926232949,-25.059145543944627,-6.633024939955113,-3.246721973317149,-6.53579699608789,-3.544983554206897,-6.535062113348514,-6.633024939955113,-3.2626813077778607
15930,0.0,11.856022321088949,-5.065792451656511,-126.64481129141278,-11.307572436733285,0.2457055481913385,6.142638704783463,0.5484498843556663,-6.901114893746205,-63.48089828439483,-6.45176366450075,-4.474250174615656,-11.977423857260876,-3.73628294619728,-6.500613504653646,-6.451763664500751,-3.589560790343526
72431,0.0,12.366386530114529,-6.133509475722601,-159.47124636878763,-12.589835239641127,-0.1088596277180868,-2.830350320670258,-0.2234487095265993,-6.515079578506737,-72.12857730269194,-5.8199854550342085,-4.324033475260174,-11.72739407439648,-3.514695061727733,-6.270662121710651,-5.8199854550342085,-3.3747478962350144
69227,0.0,10.787547735207395,-1.2810661869849589,-43.556250357488594,-0.6049479216317859,21.563152546395408,733.1471865774439,10.18259981357561,-7.328949837508406,-85.65402615520769,-7.696174689387226,-5.107045470319989,-47.44312607119066,-6.588294139048244,-11.267226400416131,-7.696174689387226,-6.007865375679188
69733,0.0,10.20379078969319,-3.815682503527008,-141.1802526304993,-4.411882894703103,5.0092176389103455,185.3410526396828,5.791907894990087,-6.632025716235685,-55.4105030710262,-6.607347494553659,-4.326026137129074,-18.37363882191657,-5.439971345161158,-6.44676639822406,-6.607347494553659,-4.615279737932835
41603,0.0,9.922021073428626,-2.314551755620089,-57.86379389050222,-4.219234971182455,3.128385518946472,78.20963797366178,5.702786102246172,-7.412684675788941,-86.60639193256246,-7.273053288910974,-5.169117184162067,-36.064014085927376,-6.092982566465984,-6.7135890498271,-7.273053288910974,-5.297980498822261
40620,0.0,10.365870391225714,-5.100902778842315,-127.52256947105788,-5.3134403946274125,4.850332796734371,121.25831991835928,5.052429996598304,-6.652871890238602,-61.363643359300845,-7.050776342615795,-4.299005908833769,-11.969569611942678,-5.231221735104341,-7.249961390970185,-7.050776342615795,-4.597675957412548
74726,0.0,12.575986142598184,-5.368948529273998,-91.27212499765795,-11.409015624707244,0.54916259665456,9.33576414312752,1.16697051789094,-5.025334908180535,-31.757846607155745,-4.756238242946644,-4.894336805528614,-14.302084021184266,-4.38066442188124,-4.713939780976523,-4.756238242946644,-4.3728969412786185
2565,0.0,13.16379127024707,-5.03108566980169,-150.9325700940507,-9.433285630878167,1.9896030076634144,59.68809022990243,3.730505639368902,-5.891924653050965,-16.62194911702523,-5.282073757625508,-4.310678724019368,-11.769081987135914,-4.209728466208016,-5.429830235342181,-5.282073757625508,-4.392924291937686
13339,0.0,15.36325199743046,-2.6127460424466133,-57.48041293382549,-1.5966781370507082,22.527120862439595,495.5966589736711,13.766573860379753,-5.531280737539347,-33.87554450233131,-6.455817564663971,-5.320426346609317,-35.15871559752521,-7.194943778335094,-9.748838185944653,-6.455817564663972,-8.042493233259618
6664,0.0,19.789439176903944,-4.531599018897681,-149.54276762362346,-9.346422976476466,5.063280582025444,167.08825920683964,10.443016200427476,-6.876443644658635,-38.10073009767747,-7.463036314136102,-4.3236708323753446,-17.049695023534767,-4.34228867524865,-7.350244936550374,-7.463036314136102,-6.445745731122065
49577,0.0,25.32765655483407,-3.947997517710674,-181.607885814691,-9.55830977972058,6.513425841894702,299.6175887271563,15.76934677511349,-5.382289139741879,-12.952347001480836,-5.624437251371098,-4.05772603902599,-12.970390604263326,-3.440031800243885,-5.401371773353108,-5.624437251371098,-7.090549469298009
7398,0.0,14.138416726998294,-1.342954314765798,-40.288629442973935,-2.0144314721486967,8.082656836566397,242.47970509699192,12.123985254849597,-6.844346532517243,-44.8622611948273,-8.480194719172792,-5.349976285933777,-41.8218315747526,-6.473733447068557,-7.460046676532801,-8.480194719172792,-6.840113336762409
31532,0.0,12.53606914226924,-4.905584608995325,-264.9015688857475,-9.460770317348125,1.5945993906998368,86.10836709779119,3.0752988249211137,-7.03643062563483,-42.3918408029302,-7.086888334991042,-3.129496183505554,-8.894840344828065,-2.569782729041214,-6.798575542456311,-7.086888334991042,-2.348104641590318
68119,0.0,10.977458683559032,-7.046960747205863,-112.7513719552938,-6.263965108627434,5.302680271798049,84.84288434876878,4.713493574931599,-5.475800701332473,-19.10486492551565,-5.982476944824302,-4.23303873807028,-7.894336773696569,-5.899178268431976,-6.585293273364565,-5.982476944824302,-5.32356026942025
72105,0.0,14.288400907223458,-5.352627436639172,-192.6945877190102,-9.634729385950507,2.5853730673738604,93.07343042545898,4.653671521272949,-6.740844525606632,-31.921073788854883,-6.821906643412636,-3.90490054646111,-7.897140488271445,-3.677817481172256,-6.807716889711752,-6.821906643412635,-4.170996581178564
52536,0.0,10.90220690455905,-7.640608792984857,-106.968523101788,-8.914043591815668,1.704139982351471,23.857959752920596,1.9881633127433824,-5.316116200855238,-28.699646740186992,-6.278882666237757,-4.298193111757292,-5.124460186884642,-5.297385515966544,-6.21205715813359,-6.278882666237758,-4.607130831789052
55832,0.0,12.344913037515717,-2.8545973924208314,-94.20171394988743,-5.233428552771524,3.8789915371331953,128.00672072539544,7.111484484744191,-7.139016053700972,-61.88363129624061,-7.4826802095589136,-4.654205052737108,-29.088717607505988,-5.1915674918612105,-6.862865203390001,-7.4826802095589136,-5.114795221401795
57904,0.0,13.920166149528514,-4.466401439573971,-156.32405038508898,-7.327689861801043,4.018271261091028,140.639494138186,6.592476287727468,-6.794935554200693,-50.46724889414031,-6.775825975544706,-4.17001983270676,-15.240932040903964,-4.272222769905666,-6.872136987997705,-6.775825975544705,-4.648819651350816
69197,0.0,10.787547735207395,-1.4729455306457333,-85.43084077745253,-2.3730789104847925,5.2227737532760985,302.9208776900137,8.414468824722602,-7.271255388792724,-73.06313771780532,-7.164531518669824,-3.9556121209539095,-67.38397366194813,-4.529164995000633,-6.353987026712951,-7.164531518669824,-3.662845285784308
46456,0.0,9.531251144052613,-3.67440992740521,-183.7204963702605,-6.124016545675353,2.0443407590263574,102.21703795131786,3.407234598377262,-5.975929139293737,-19.924255773024736,-5.428400896771797,-4.122504867712921,-19.215003961204573,-4.666985614725185,-5.14099110769389,-5.428400896771798,-3.5361287027124693
11297,0.0,11.537760011934717,-5.586553322720932,-178.76970632706983,-7.448737763627907,3.066766686230106,98.1365339593634,4.089022248306808,-6.797941777638322,-70.00392100664227,-7.065357187811024,-4.200963542999626,-13.186579162070704,-4.522092735747785,-7.072738574764278,-7.065357187811023,-4.2018067840869255
10750,0.0,13.631179979897874,-4.499434036815512,-130.48358706764986,-12.232836287592177,0.5143333121124413,14.915666051260796,1.3983436923056995,-7.045458071866205,-77.09290434805737,-6.604769107755125,-4.529834060828056,-13.100316520769292,-3.3603146857172104,-6.674830389931014,-6.604769107755125,-3.600710365098553
24683,0.0,14.004951319295884,-4.056881316440337,-154.1614900247328,-6.423395417697201,4.788351095746537,181.9573416383684,7.5815559015986835,-6.65987927823906,-46.82620790230121,-6.684151709793866,-4.191687750864638,-18.23950931113764,-4.415048879053761,-6.751875131235997,-6.684151709793867,-4.764166822201754
40816,0.0,10.365870391225714,-6.933681639488559,-166.40835934772542,-6.933681639488557,3.432188751737156,82.37253004169173,3.432188751737156,-6.101790340941238,-49.671430080864354,-6.56360078934761,-4.1113096731377645,-11.058435701041654,-6.0642894037281225,-6.823552600349187,-6.563600789347609,-5.421306997996778
7663,0.0,9.658569623709472,-0.897481828519991,-35.89927314079964,-0.9972020316888788,7.795230832818532,311.8092333127413,8.661367592020591,-5.834997357931544,-33.49574728802868,-5.852933327593338,-5.263654095254795,-58.02253688185805,-6.484309419833577,-5.7271012562705055,-5.852933327593338,-5.549741546018824
46125,0.0,11.948867556115635,-4.902686096763751,-142.17789680614877,-8.886118550384298,1.6897925548862551,49.003984091701405,3.062749005731338,-7.043350887865543,-101.25420818567969,-6.929531431351722,-4.431501370705509,-13.698591260557352,-4.646968762021206,-6.827383457119678,-6.929531431351722,-4.320781866088207
13108,0.0,14.033872295941752,-3.356549472872063,-234.9584631010444,-8.391373682180157,2.256999445504638,157.98996118532466,5.642498613761595,-7.382526165311109,-30.029336796739216,-7.61201381181648,-2.957183090516885,-37.9759961594864,-1.956259826778017,-6.929822818836728,-7.612013811816481,-2.120106035983985
24408,0.0,14.004951319295884,-3.935421381776253,-137.73974836216885,-5.739156181757036,5.667973808598068,198.3790833009324,8.265795137538849,-6.696399957525289,-51.763911534683714,-6.889889361143138,-4.349363302798052,-27.01242464198736,-4.70549992747093,-7.0163608571486415,-6.889889361143137,-5.147356548659179
18319,0.0,14.064951788374891,-3.89404716716783,-109.03332068069923,-4.543055028362469,8.161625794296363,228.52552224029816,9.521896760012424,-6.9978295318896,-63.133844079948695,-8.07374274086606,-4.686914421592576,-24.70727821590308,-5.724688026037494,-8.473628018888244,-8.07374274086606,-6.143400845401185
30854,0.0,10.91743908157626,-2.7958434746481124,-97.85452161268394,-1.7474021716550712,14.672059055873904,513.5220669555866,9.17003690992119,-7.209226900784938,-44.58794012592552,-7.900888853332141,-4.768249994082931,-36.3622956470163,-6.576963465028,-9.85535052565392,-7.900888853332142,-6.041224238962045
11587,0.0,11.537760011934717,-5.263285260575197,-178.9516988595567,-7.456320785814862,2.8810159243198976,97.95454142687652,4.081439226119855,-6.895142301035244,-69.94919933294942,-7.063077118073823,-4.118654025274676,-13.246902913873734,-4.751887418665866,-7.016886873364498,-7.063077118073822,-4.425524474406197
66503,0.0,11.877909327726073,-2.075351866400496,-76.78801905681834,-1.0665002646780326,21.03841763620159,778.4214525394589,10.81140906304804,-7.392933415011676,-58.40973285952406,-9.096900263547226,-4.743934870035421,-35.963421046165216,-6.17501513782974,-12.245769002358031,-9.096900263547226,-5.936757981369256
64644,0.0,12.839886165281376,-6.889252627990291,-103.33878941985436,-8.611565784987864,3.382656304234809,50.73984456352214,4.228320380293511,-3.451388199749528,-3.428678573703815,-5.230714278011564,-4.464286800213729,-9.826026548063478,-5.398598897295742,-4.792293142063823,-5.230714278011565,-5.333056526167568
42610,0.0,10.9715400866736,-5.063265516671724,-151.89796550015174,-8.438775861119543,1.5196585353324357,45.58975605997307,2.5327642255540592,-6.30226313532642,-11.287075193702616,-5.771491929197271,-4.085395511443088,-11.116046844379436,-4.426459696086583,-5.872763875251828,-5.771491929197272,-3.943249385373945
62581,0.0,11.906146757118146,-2.197338824942069,-81.30153652285655,-5.081346032678535,2.951265178136048,109.19681159103378,6.824800724439611,-7.001764313632696,-28.95389124193561,-6.865844653593499,-4.737557723917954,-36.90402662114183,-5.164502015703908,-6.369555891584985,-6.865844653593499,-4.949056492106848
29250,0.0,14.258224208076747,-2.5430397106824074,-162.75454148367407,-2.5430397106824074,11.71518449739434,749.7718078332377,11.71518449739434,-7.704134126818968,-78.83365496401079,-9.610128187510789,-3.5641757660057087,-41.71879261651325,-4.013370003810601,-10.023560448835632,-9.610128187510789,-4.360704154463414
18833,0.0,11.64011289132118,-3.923103351328128,-78.46206702656255,-5.230804468437502,4.806981317162759,96.13962634325516,6.409308422883679,-6.807400898386914,-34.89578232595225,-6.597298848497477,-4.794781231869893,-25.28175471585781,-5.945096847214642,-6.424118263261648,-6.597298848497476,-5.681885107690391
64907,0.0,25.94199075489812,-1.37274993582007,-42.555248010422176,-1.7731353337675904,18.71137193893977,580.0525301071328,24.168855421130534,-6.307291459304265,-39.83230182134014,-7.229591332301178,-5.285210847552154,-44.35439229180651,-6.483420160619078,-8.189514312468152,-7.229591332301179,-10.515646823614109
27967,0.0,9.462675959768148,-5.407588831908012,-205.48837561250448,-7.338870557589445,1.564909243710623,59.46655126100367,2.1238054021787027,-6.712142035616885,-24.468093079975016,-6.428421818819702,-3.9315171936690656,-1.910723155341474,-4.4487226452838335,-6.357860598590179,-6.428421818819702,-3.4477518223535366
62343,0.0,11.906146757118146,-6.203734103297614,-148.88961847914274,-9.30560115494642,1.733697068114483,41.60872963474759,2.6005456021717244,-5.797117880557118,-8.631447700997919,-5.595691932284894,-4.258953079834717,-8.201256920679066,-4.918050351550691,-6.003456448355288,-5.595691932284893,-4.740077247714715
63424,0.0,13.151496900238287,-4.673875233985906,-163.5856331895067,-10.224102074344168,1.3382376346944544,46.8383172143059,2.927394825894119,-6.849595765351506,-20.930890823510715,-6.788931292198503,-4.203561763665105,-16.598207582392423,-4.028181931365183,-6.735830065124072,-6.788931292198503,-4.164181162329474
69863,0.0,10.20379078969319,-4.002898367004595,-120.08695101013784,-5.629075828600213,3.253130638999452,97.59391916998356,4.57471496109298,-6.575733486816423,-61.75285543351836,-6.241360859608892,-4.414076161406042,-20.38633181073649,-5.277509134829079,-5.918744624625785,-6.241360859608893,-4.554259496169065
18810,0.0,11.64011289132118,-4.403792889182444,-149.7289582322031,-4.990965274406769,5.866894956100952,199.47442850743235,6.649147616914411,-6.662866748119387,-13.467191205383015,-6.669413906929613,-4.223490595812191,-16.244723720780314,-5.415367342781309,-6.742814022367856,-6.669413906929613,-5.100679957611272
