sisso_model,dectree_rank,logistic_rank,average_rank
sisso_00176,17908,7319,12613.5
sisso_00177,20671,35554,28112.5
sisso_00178,26550,5174,15862.0
sisso_00179,32445,21511,26978.0
sisso_00180,48202,41940,45071.0
sisso_00181,14144,4023,9083.5
sisso_00182,26031,29371,27701.0
sisso_00183,45152,9498,27325.0
sisso_00184,23025,38744,30884.5
sisso_00185,15681,14683,15182.0
sisso_00186,43478,47613,45545.5
sisso_00187,6470,2574,4522.0
sisso_00188,15682,8336,12009.0
sisso_00189,1878,3238,2558.0
sisso_00190,6310,13899,10104.5
sisso_00191,18855,2624,10739.5
sisso_00192,22690,27109,24899.5
sisso_00193,48439,18301,33370.0
sisso_00194,19553,21512,20532.5
sisso_00195,4320,4261,4290.5
sisso_00196,4457,17347,10902.0
sisso_00197,19390,6980,13185.0
sisso_00198,43118,4179,23648.5
sisso_00199,47818,38541,43179.5
sisso_00200,48809,40066,44437.5
sisso_00201,39449,14258,26853.5
sisso_00202,34575,45479,40027.0
sisso_00203,7860,39026,23443.0
sisso_00204,47602,11276,29439.0
sisso_00205,43479,2066,22772.5
sisso_00206,48842,3648,26245.0
sisso_00207,48665,38542,43603.5
sisso_00208,27985,1163,14574.0
sisso_00209,48561,39682,44121.5
sisso_00210,12069,5042,8555.5
sisso_00211,32220,14892,23556.0
sisso_00212,28507,23555,26031.0
sisso_00213,18102,7320,12711.0
sisso_00214,6961,21513,14237.0
sisso_00215,5713,8158,6935.5
sisso_00216,18486,14474,16480.0
sisso_00217,48780,14684,31732.0
sisso_00218,4578,4578,4578.0
sisso_00219,6005,47614,26809.5
sisso_00220,33097,27966,30531.5
sisso_00221,42583,6369,24476.0
sisso_00222,23685,14259,18972.0
sisso_00223,27442,34485,30963.5
sisso_00224,6471,20660,13565.5
sisso_00225,29951,8662,19306.5
sisso_00226,11863,8663,10263.0
sisso_00227,22522,16916,19719.0
sisso_00228,864,3702,2283.0
sisso_00229,48597,38448,43522.5
sisso_00230,48477,39515,43996.0
sisso_00231,4717,7488,6102.5
sisso_00232,48304,37576,42940.0
sisso_00233,22853,8664,15758.5
sisso_00234,46104,16287,31195.5
sisso_00235,47456,46957,47206.5
sisso_00236,47750,44931,46340.5
sisso_00237,36330,24492,30411.0
sisso_00238,45153,12197,28675.0
sisso_00239,6472,15108,10790.0
sisso_00240,36093,23556,29824.5
sisso_00241,48744,38834,43789.0
sisso_00242,5259,4262,4760.5
sisso_00243,2022,5798,3910.0
sisso_00244,47685,6370,27027.5
sisso_00245,48478,39860,44169.0
sisso_00246,5416,17348,11382.0
sisso_00247,11864,39322,25593.0
sisso_00248,31347,30489,30918.0
sisso_00249,48666,38835,43750.5
sisso_00250,42327,6981,24654.0
sisso_00251,30930,49308,40119.0
sisso_00252,10786,37348,24067.0
sisso_00253,18290,7805,13047.5
sisso_00254,43370,5660,24515.0
sisso_00255,27443,15109,21276.0
sisso_00256,36609,10008,23308.5
sisso_00257,33343,32895,33119.0
sisso_00258,11214,32371,21792.5
sisso_00259,3767,3851,3809.0
sisso_00260,48781,37349,43065.0
sisso_00261,48016,3852,25934.0
sisso_00262,9372,27967,18669.5
sisso_00263,9184,4467,6825.5
sisso_00264,47686,38449,43067.5
sisso_00265,42584,30490,36537.0
sisso_00266,31997,46649,39323.0
sisso_00267,47819,38132,42975.5
sisso_00268,4718,18045,11381.5
sisso_00269,32876,8836,20856.0
sisso_00270,42977,16080,29528.5
sisso_00271,5714,13321,9517.5
sisso_00272,14688,33369,24028.5
sisso_00273,18103,12757,15430.0
sisso_00274,4321,30,2175.5
sisso_00275,34073,46275,40174.0
sisso_00276,48562,38836,43699.0
sisso_00277,33573,48453,41013.0
sisso_00278,38234,24769,31501.5
sisso_00279,2023,3853,2938.0
sisso_00280,4322,4352,4337.0
sisso_00281,43928,9842,26885.0
sisso_00282,33098,24493,28795.5
sisso_00283,4458,3149,3803.5
sisso_00284,48519,4468,26493.5
sisso_00285,25469,21514,23491.5
sisso_00286,5715,12375,9045.0
sisso_00287,48667,37350,43008.5
sisso_00288,35348,44570,39959.0
sisso_00289,35619,45480,40549.5
sisso_00290,35349,20380,27864.5
sisso_00291,31348,19834,25591.0
sisso_00292,45229,48057,46643.0
sisso_00293,44809,19835,32322.0
sisso_00294,34576,47452,41014.0
sisso_00295,20830,7806,14318.0
sisso_00296,22038,13702,17870.0
sisso_00297,46331,32648,39489.5
sisso_00298,4996,5043,5019.5
sisso_00299,48870,39117,43993.5
sisso_00300,3194,3388,3291.0
sisso_00301,2332,3389,2860.5
sisso_00302,48520,39323,43921.5
sisso_00303,22206,4091,13148.5
sisso_00304,2638,3450,3044.0
sisso_00305,49119,7489,28304.0
sisso_00306,41602,16917,29259.5
sisso_00307,4323,5310,4816.5
sisso_00308,38504,16918,27711.0
sisso_00309,40417,28851,34634.0
sisso_00310,5113,4092,4602.5
sisso_00311,7132,8337,7734.5
sisso_00312,28508,48058,38283.0
sisso_00313,3329,16720,10024.5
