sisso_model,dectree_rank,logistic_rank,average_rank
sisso_12513,21915,40736,31325.5
sisso_12514,12333,4745,8539.0
sisso_12515,44915,19612,32263.5
sisso_12516,46035,17866,31950.5
sisso_12517,32699,32919,32809.0
sisso_12518,32046,44220,38133.0
sisso_12519,48533,15934,32233.5
sisso_12520,21916,16326,19121.0
sisso_12521,43280,16126,29703.0
sisso_12522,8836,41811,25323.5
sisso_12523,43636,36214,39925.0
sisso_12524,31833,44221,38027.0
sisso_12525,6364,20169,13266.5
sisso_12526,26954,8221,17587.5
sisso_12527,44916,4120,24518.0
sisso_12528,48220,47776,47998.0
sisso_12529,31610,39623,35616.5
sisso_12530,15484,49424,32454.0
sisso_12531,48029,16765,32397.0
sisso_12532,26595,4952,15773.5
sisso_12533,33611,19363,26487.0
sisso_12534,13715,18102,15908.5
sisso_12535,33389,27407,30398.0
sisso_12536,49568,11894,30731.0
sisso_12537,30006,13376,21691.0
sisso_12538,2679,43230,22954.5
sisso_12539,5611,11712,8661.5
sisso_12540,31192,42577,36884.5
sisso_12541,22070,34972,28521.0
sisso_12542,37795,45185,41490.0
sisso_12543,35159,35477,35318.0
sisso_12544,45538,43627,44582.5
sisso_12545,36957,22179,29568.0
sisso_12546,9613,20170,14891.5
sisso_12547,39673,40451,40062.0
sisso_12548,9432,39892,24662.0
sisso_12549,47896,19613,33754.5
sisso_12550,49684,12615,31149.5
sisso_12551,46737,45538,46137.5
sisso_12552,24246,10583,17414.5
sisso_12553,5898,15161,10529.5
sisso_12554,19774,49241,34507.5
sisso_12555,13484,5466,9475.0
sisso_12556,22240,31124,26682.0
sisso_12557,3516,40206,21861.0
sisso_12558,1623,46418,24020.5
sisso_12559,21330,33047,27188.5
sisso_12560,49364,23349,36356.5
sisso_12561,24410,11895,18152.5
sisso_12562,40288,40737,40512.5
sisso_12563,28700,46197,37448.5
sisso_12564,32933,42790,37861.5
sisso_12565,31611,49105,40358.0
sisso_12566,12119,548,6333.5
sisso_12567,31612,575,16093.5
sisso_12568,3366,40207,21786.5
sisso_12569,2949,46307,24628.0
sisso_12570,25505,17639,21572.0
sisso_12571,26596,40576,33586.0
sisso_12572,44128,18607,31367.5
sisso_12573,29430,13558,21494.0
sisso_12574,48815,10062,29438.5
sisso_12575,20704,10769,15736.5
sisso_12576,34638,21895,28266.5
sisso_12577,10395,42358,26376.5
sisso_12578,27290,47468,37379.0
sisso_12579,29631,39357,34494.0
sisso_12580,7197,28887,18042.0
sisso_12581,25695,18363,22029.0
sisso_12582,30586,22180,26383.0
sisso_12583,3367,31125,17246.0
sisso_12584,12555,25414,18984.5
sisso_12585,33612,42791,38201.5
sisso_12586,31834,41140,36487.0
sisso_12587,30982,44996,37989.0
sisso_12588,24601,40333,32467.0
sisso_12589,6714,41296,24005.0
sisso_12590,1624,44222,22923.0
sisso_12591,516,595,555.5
sisso_12592,41923,31658,36790.5
sisso_12593,2819,44997,23908.0
sisso_12594,34639,27716,31177.5
sisso_12595,24980,37484,31232.0
sisso_12596,43951,17640,30795.5
sisso_12597,12556,33384,22970.0
sisso_12598,43952,42578,43265.0
sisso_12599,26778,18103,22440.5
sisso_12600,42740,467,21603.5
sisso_12601,44917,39146,42031.5
sisso_12602,1377,2777,2077.0
sisso_12603,30778,26289,28533.5
sisso_12604,27291,48366,37828.5
sisso_12605,42741,15540,29140.5
sisso_12606,41307,34693,38000.0
sisso_12607,43515,36017,39766.0
sisso_12608,30587,14536,22561.5
sisso_12609,27479,12082,19780.5
sisso_12610,7026,760,3893.0
sisso_12611,3968,680,2324.0
sisso_12612,18704,49425,34064.5
sisso_12613,28701,29651,29176.0
sisso_12614,44596,14123,29359.5
sisso_12615,13485,15737,14611.0
sisso_12616,40089,36215,38152.0
sisso_12617,33613,43023,38318.0
sisso_12618,13231,8222,10726.5
sisso_12619,19775,15541,17658.0
sisso_12620,22729,12989,17859.0
sisso_12621,45679,26290,35984.5
sisso_12622,24981,35896,30438.5
sisso_12623,49265,38044,43654.5
sisso_12624,46351,36672,41511.5
sisso_12625,2519,43417,22968.0
sisso_12626,2373,39453,20913.0
sisso_12627,7367,41812,24589.5
sisso_12628,16186,7699,11942.5
sisso_12629,9039,41297,25168.0
sisso_12630,10396,5693,8044.5
sisso_12631,16915,26861,21888.0
sisso_12632,12334,8399,10366.5
sisso_12633,16421,12616,14518.5
sisso_12634,23237,14311,18774.0
sisso_12635,27835,12990,20412.5
sisso_12636,23555,33591,28573.0
sisso_12637,38805,36903,37854.0
sisso_12638,24055,30522,27288.5
sisso_12639,15971,12428,14199.5
sisso_12640,26779,40087,33433.0
sisso_12641,38293,32920,35606.5
sisso_12642,49449,16327,32888.0
sisso_12643,8447,19118,13782.5
sisso_12644,43953,39358,41655.5
sisso_12645,7368,18865,13116.5
sisso_12646,29243,8568,18905.5
sisso_12647,33390,24218,28804.0
sisso_12648,34122,32670,33396.0
sisso_12649,356,38765,19560.5
sisso_12650,7735,19897,13816.0
sisso_12651,7369,506,3937.5
sisso_12652,5765,40208,22986.5
sisso_12653,43516,37137,40326.5
sisso_12654,11915,9382,10648.5
sisso_12655,17753,11139,14446.0
sisso_12656,7736,8723,8229.5
sisso_12657,35667,10952,23309.5
sisso_12658,10617,47828,29222.5
sisso_12659,967,32671,16819.0
sisso_12660,32700,7700,20200.0
sisso_12661,44045,33496,38770.5
sisso_12662,32934,28324,30629.0
sisso_12663,8102,41141,24621.5
sisso_12664,49858,22181,36019.5
sisso_12665,11704,30940,21322.0
sisso_12666,42370,1081,21725.5
sisso_12667,4762,19364,12063.0
sisso_12668,38806,29162,33984.0
sisso_12669,17754,15373,16563.5
sisso_12670,34640,27717,31178.5
sisso_12671,9040,28888,18964.0
sisso_12672,4362,48620,26491.0
sisso_12673,43637,986,22311.5
sisso_12674,38807,28889,33848.0
sisso_12675,45253,38669,41961.0
sisso_12676,45254,11522,28388.0
sisso_12677,36958,19614,28286.0
sisso_12678,15485,12803,14144.0
sisso_12679,49793,19898,34845.5
sisso_12680,39275,761,20018.0
sisso_12681,357,30313,15335.0
sisso_12682,5468,18866,12167.0
sisso_12683,15727,42359,29043.0
sisso_12684,18892,22769,20830.5
sisso_12685,44046,48435,46240.5
sisso_12686,19776,48347,34061.5
sisso_12687,33614,31659,32636.5
sisso_12688,15728,8887,12307.5
sisso_12689,14740,10233,12486.5
sisso_12690,14197,5962,10079.5
sisso_12691,10397,35702,23049.5
sisso_12692,42078,44014,43046.0
sisso_12693,10842,8888,9865.0
sisso_12694,7198,9900,8549.0
sisso_12695,2054,3726,2890.0
sisso_12696,387,3727,2057.0
sisso_12697,10843,41142,25992.5
sisso_12698,14463,40738,27600.5
sisso_12699,41491,40452,40971.5
sisso_12700,23064,13945,18504.5
sisso_12701,42079,40992,41535.5
sisso_12702,13000,40577,26788.5
sisso_12703,42742,39893,41317.5
sisso_12704,28369,43231,35800.0
sisso_12705,42743,48621,45682.0
sisso_12706,2950,41298,22124.0
sisso_12707,10618,37946,24282.0
sisso_12708,9238,7864,8551.0
sisso_12709,17755,4121,10938.0
sisso_12710,44227,36673,40450.0
sisso_12711,7370,41143,24256.5
sisso_12712,45875,35478,40676.5
sisso_12713,9614,33385,21499.5
sisso_12714,48912,31332,40122.0
sisso_12715,26597,46747,36672.0
sisso_12716,31613,7701,19657.0
sisso_12717,13486,34314,23900.0
sisso_12718,4763,46419,25591.0
sisso_12719,11705,40453,26079.0
sisso_12720,15486,15935,15710.5
sisso_12721,5318,44015,24666.5
sisso_12722,10844,5347,8095.5
sisso_12723,11044,9901,10472.5
sisso_12724,43006,40209,41607.5
sisso_12725,44314,6858,25586.0
sisso_12726,48453,34124,41288.5
sisso_12727,1254,33158,17206.0
sisso_12728,24602,4048,14325.0
sisso_12729,32701,42360,37530.5
sisso_12730,43517,40739,42128.0
sisso_12731,13487,41813,27650.0
sisso_12732,11916,16550,14233.0
sisso_12733,43638,48367,46002.5
sisso_12734,39486,29163,34324.5
sisso_12735,42214,48283,45248.5
sisso_12736,11706,7541,9623.5
sisso_12737,32047,3878,17962.5
sisso_12738,8664,14727,11695.5
sisso_12739,3969,45186,24577.5
sisso_12740,48534,32672,40603.0
sisso_12741,38808,41468,40138.0
sisso_12742,883,33159,17021.0
sisso_12743,26780,30731,28755.5
sisso_12744,41924,851,21387.5
sisso_12745,5176,41469,23322.5
sisso_12746,31614,41814,36714.0
sisso_12747,39674,29407,34540.5
sisso_12748,18525,15542,17033.5
sisso_12749,29632,8569,19100.5
sisso_12750,32702,26291,29496.5
sisso_12751,42875,19615,31245.0
sisso_12752,49041,38147,43594.0
sisso_12753,8665,7367,8016.0
sisso_12754,14198,37374,25786.0
sisso_12755,30007,38362,34184.5
sisso_12756,24603,12083,18343.0
sisso_12757,9433,27151,18292.0
sisso_12758,27480,14537,21008.5
sisso_12759,32048,17641,24844.5
sisso_12760,9239,10953,10096.0
sisso_12761,7199,14728,10963.5
sisso_12762,16916,4497,10706.5
sisso_12763,31615,23605,27610.0
sisso_12764,48406,33592,40999.0
sisso_12765,33873,45187,39530.0
sisso_12766,18893,8724,13808.5
sisso_12767,14199,2584,8391.5
sisso_12768,23732,23606,23669.0
sisso_12769,11480,10770,11125.0
sisso_12770,10619,2148,6383.5
sisso_12771,48454,33048,40751.0
sisso_12772,41308,16,20662.0
sisso_12773,36657,39803,38230.0
sisso_12774,41925,38241,40083.0
sisso_12775,48495,13946,31220.5
sisso_12776,1907,5568,3737.5
sisso_12777,11481,39624,25552.5
sisso_12778,36658,45363,41010.5
sisso_12779,47406,36125,41765.5
sisso_12780,41774,5467,23620.5
sisso_12781,32703,44638,38670.5
sisso_12782,36659,48070,42364.5
sisso_12783,11045,2094,6569.5
sisso_12784,13001,2095,7548.0
sisso_12785,29633,21594,25613.5
sisso_12786,29078,4498,16788.0
sisso_12787,47407,9383,28395.0
sisso_12788,8837,41144,24990.5
sisso_12789,14200,7035,10617.5
sisso_12790,30779,6569,18674.0
sisso_12791,17164,49194,33179.0
sisso_12792,14464,40334,27399.0
sisso_12793,8287,30732,19509.5
sisso_12794,30383,39894,35138.5
sisso_12795,47768,24219,35993.5
sisso_12796,34641,42361,38501.0
sisso_12797,26416,5569,15992.5
sisso_12798,43954,41145,42549.5
sisso_12799,1255,46420,23837.5
sisso_12800,13950,40454,27202.0
sisso_12801,19606,3252,11429.0
sisso_12802,26245,42579,34412.0
sisso_12803,37231,39703,38467.0
sisso_12804,36959,46066,41512.5
sisso_12805,22241,43828,33034.5
sisso_12806,26417,2501,14459.0
sisso_12807,24982,30941,27961.5
sisso_12808,6213,2525,4369.0
sisso_12809,10845,7368,9106.5
sisso_12810,48787,18104,33445.5
sisso_12811,20101,30942,25521.5
sisso_12812,12335,3664,7999.5
sisso_12813,37509,36018,36763.5
sisso_12814,31193,43418,37305.5
sisso_12815,19607,7036,13321.5
sisso_12816,9814,6101,7957.5
sisso_12817,12788,3594,8191.0
sisso_12818,16672,14538,15605.0
sisso_12819,46568,7542,27055.0
sisso_12820,23238,8223,15730.5
sisso_12821,18705,5694,12199.5
sisso_12822,25696,12429,19062.5
sisso_12823,16917,2040,9478.5
sisso_12824,4921,38363,21642.0
sisso_12825,27292,42157,34724.5
sisso_12826,42876,1986,22431.0
sisso_12827,42877,43024,42950.5
sisso_12828,48535,22454,35494.5
sisso_12829,7922,19365,13643.5
sisso_12830,10205,27152,18678.5
sisso_12831,32273,31972,32122.5
sisso_12832,37510,28012,32761.0
sisso_12833,31397,26862,29129.5
sisso_12834,9815,2333,6074.0
sisso_12835,38558,30943,34750.5
sisso_12836,39276,1380,20328.0
sisso_12837,29634,7369,18501.5
sisso_12838,10846,647,5746.5
sisso_12839,24247,42158,33202.5
sisso_12840,22242,41634,31938.0
sisso_12841,8838,39625,24231.5
sisso_12842,21754,38857,30305.5
sisso_12843,38049,30733,34391.0
sisso_12844,48983,39053,44018.0
sisso_12845,38809,36311,37560.0
sisso_12846,49170,31126,40148.0
sisso_12847,20241,6570,13405.5
sisso_12848,16673,4841,10757.0
sisso_12849,8666,5084,6875.0
sisso_12850,46569,6859,26714.0
sisso_12851,13488,2259,7873.5
sisso_12852,34905,40455,37680.0
sisso_12853,11707,41299,26503.0
sisso_12854,7371,45188,26279.5
sisso_12855,10398,42002,26200.0
sisso_12856,6214,43025,24619.5
sisso_12857,12120,4122,8121.0
sisso_12858,8839,7702,8270.5
sisso_12859,22885,20171,21528.0
sisso_12860,22388,439,11413.5
sisso_12861,40289,14539,27414.0
sisso_12862,6715,26577,16646.0
sisso_12863,10399,40088,25243.5
sisso_12864,16187,13947,15067.0
sisso_12865,11708,7865,9786.5
sisso_12866,22243,31973,27108.0
sisso_12867,30983,17184,24083.5
sisso_12868,22886,8048,15467.0
sisso_12869,33162,25415,29288.5
sisso_12870,30984,12617,21800.5
sisso_12871,34642,596,17619.0
sisso_12872,21755,7037,14396.0
sisso_12873,33615,18867,26241.0
sisso_12874,14201,10954,12577.5
sisso_12875,40809,33049,36929.0
sisso_12876,33616,33386,33501.0
sisso_12877,29815,4842,17328.5
sisso_12878,42620,12242,27431.0
sisso_12879,18706,4049,11377.5
sisso_12880,40290,18105,29197.5
sisso_12881,38294,20716,29505.0
sisso_12882,31616,37485,34550.5
sisso_12883,11482,36546,24014.0
sisso_12884,37796,19616,28706.0
sisso_12885,31398,23927,27662.5
sisso_12886,28891,26578,27734.5
sisso_12887,41775,9058,25416.5
sisso_12888,28028,39804,33916.0
sisso_12889,3368,46421,24894.5
sisso_12890,44918,28628,36773.0
sisso_12891,43147,13763,28455.0
sisso_12892,11265,12243,11754.0
sisso_12893,5612,42580,24096.0
sisso_12894,21605,8570,15087.5
sisso_12895,37232,20717,28974.5
sisso_12896,34906,43026,38966.0
sisso_12897,30780,39990,35385.0
sisso_12898,32049,24832,28440.5
sisso_12899,46126,13187,29656.5
sisso_12900,3814,8049,5931.5
sisso_12901,37511,21271,29391.0
sisso_12902,26598,468,13533.0
sisso_12903,24411,24544,24477.5
sisso_12904,18707,43419,31063.0
sisso_12905,39675,38858,39266.5
sisso_12906,20242,13188,16715.0
sisso_12907,1762,23054,12408.0
sisso_12908,15729,42362,29045.5
sisso_12909,10847,10771,10809.0
sisso_12910,35405,2699,19052.0
sisso_12911,3655,38364,21009.5
sisso_12912,10400,17867,14133.5
sisso_12913,39887,1841,20864.0
sisso_12914,37233,7543,22388.0
sisso_12915,44680,29164,36922.0
sisso_12916,28543,26863,27703.0
sisso_12917,4229,9902,7065.5
sisso_12918,6365,5205,5785.0
sisso_12919,33163,22182,27672.5
sisso_12920,41309,29165,35237.0
sisso_12921,31399,15162,23280.5
sisso_12922,46908,23055,34981.5
sisso_12923,26781,12804,19792.5
sisso_12924,46036,16551,31293.5
sisso_12925,25697,41300,33498.5
sisso_12926,20705,6860,13782.5
sisso_12927,15972,49144,32558.0
sisso_12928,36660,11523,24091.5
sisso_12929,34643,38242,36442.5
sisso_12930,17756,44810,31283.0
sisso_12931,14741,44998,29869.5
sisso_12932,18526,45364,31945.0
sisso_12933,24983,40335,32659.0
sisso_12934,11483,43628,27555.5
sisso_12935,13002,41815,27408.5
sisso_12936,15263,41816,28539.5
sisso_12937,17757,40578,29167.5
sisso_12938,28370,15543,21956.5
sisso_12939,16674,43629,30151.5
sisso_12940,15730,39147,27438.5
sisso_12941,9240,40089,24664.5
sisso_12942,18708,41470,30089.0
sisso_12943,15731,43829,29780.0
sisso_12944,7372,49426,28399.0
sisso_12945,7923,49427,28675.0
sisso_12946,18894,39542,29218.0
sisso_12947,15487,6714,11100.5
sisso_12948,9615,4953,7284.0
sisso_12949,13232,42792,28012.0
sisso_12950,34375,42793,38584.0
sisso_12951,8840,41817,25328.5
sisso_12952,36661,42159,39410.0
sisso_12953,8841,44811,26826.0
sisso_12954,49772,28629,39200.5
sisso_12955,29431,41818,35624.5
sisso_12956,3222,43830,23526.0
sisso_12957,22071,12991,17531.0
sisso_12958,2520,30734,16627.0
sisso_12959,43403,48244,45823.5
sisso_12960,27663,30523,29093.0
sisso_12961,24412,29863,27137.5
sisso_12962,38295,810,19552.5
sisso_12963,43518,4381,23949.5
sisso_12964,33617,41635,37626.0
sisso_12965,25159,32394,28776.5
sisso_12966,28702,4746,16724.0
sisso_12967,29635,18106,23870.5
sisso_12968,44129,36019,40074.0
sisso_12969,35909,73,17991.0
sisso_12970,31400,28630,30015.0
sisso_12971,11709,49242,30475.5
sisso_12972,32499,28325,30412.0
sisso_12973,47482,41471,44476.5
sisso_12974,10620,6571,8595.5
sisso_12975,17948,49428,33688.0
sisso_12976,45754,17642,31698.0
sisso_12977,45255,40740,42997.5
sisso_12978,47558,33050,40304.0
sisso_12979,48572,27718,38145.0
sisso_12980,26068,39359,32713.5
sisso_12981,34123,8571,21347.0
sisso_12982,43639,15936,29787.5
sisso_12983,46570,27408,36989.0
sisso_12984,11917,9384,10650.5
sisso_12985,29816,39246,34531.0
sisso_12986,4230,42581,23405.5
sisso_12987,26069,43027,34548.0
sisso_12988,4108,44426,24267.0
sisso_12989,1502,39805,20653.5
sisso_12990,5613,43232,24422.5
sisso_12991,25160,36435,30797.5
sisso_12992,25891,41472,33681.5
sisso_12993,13951,40210,27080.5
sisso_12994,10848,7866,9357.0
sisso_12995,46127,1145,23636.0
sisso_12996,40465,1110,20787.5
sisso_12997,42371,29864,36117.5
sisso_12998,44422,23350,33886.0
sisso_12999,20102,10234,15168.0
sisso_13000,35910,42794,39352.0
sisso_13001,35160,31660,33410.0
sisso_13002,25329,11524,18426.5
sisso_13003,26418,9555,17986.5
sisso_13004,34376,27153,30764.5
sisso_13005,7533,49429,28481.0
sisso_13006,2521,42363,22442.0
sisso_13007,49717,24833,37275.0
sisso_13008,8103,49145,28624.0
sisso_13009,13233,49430,31331.5
sisso_13010,13489,5826,9657.5
sisso_13011,12557,5085,8821.0
sisso_13012,2951,43831,23391.0
sisso_13013,29636,40860,35248.0
sisso_13014,43640,20172,31906.0
sisso_13015,43743,35479,39611.0
sisso_13016,44681,23056,33868.5
sisso_13017,18895,15374,17134.5
sisso_13018,26599,37138,31868.5
sisso_13019,42215,44812,43513.5
sisso_13020,2200,16127,9163.5
sisso_13021,37797,46908,42352.5
sisso_13022,19084,12805,15944.5
sisso_13023,27664,20445,24054.5
sisso_13024,27127,45539,36333.0
sisso_13025,5319,49431,27375.0
sisso_13026,15019,384,7701.5
sisso_13027,26600,42582,34591.0
sisso_13028,34644,19366,27005.0
sisso_13029,1763,47128,24445.5
sisso_13030,3656,44427,24041.5
sisso_13031,5899,43028,24463.5
sisso_13032,12558,7370,9964.0
sisso_13033,44837,3353,24095.0
sisso_13034,8448,16328,12388.0
sisso_13035,2820,43233,23026.5
sisso_13036,2821,43832,23326.5
sisso_13037,21917,2668,12292.5
sisso_13038,3517,42003,22760.0
sisso_13039,2822,42004,22413.0
sisso_13040,1503,42160,21831.5
sisso_13041,34377,13559,23968.0
sisso_13042,25161,16974,21067.5
sisso_13043,24413,40993,32703.0
sisso_13044,49171,24220,36695.5
sisso_13045,28371,19367,23869.0
sisso_13046,23556,31127,27341.5
sisso_13047,11046,49432,30239.0
sisso_13048,48648,19617,34132.5
sisso_13049,49740,32536,41138.0
sisso_13050,14742,5086,9914.0
sisso_13051,3223,46909,25066.0
sisso_13052,33391,13764,23577.5
sisso_13053,30195,38564,34379.5
sisso_13054,16188,4199,10193.5
sisso_13055,884,41636,21260.0
sisso_13056,1908,43234,22571.0
sisso_13057,38559,41819,40189.0
sisso_13058,7737,45365,26551.0
sisso_13059,43844,39991,41917.5
sisso_13060,1764,44428,23096.0
sisso_13061,43845,43235,43540.0
sisso_13062,6542,45690,26116.0
sisso_13063,4,48836,24420.0
sisso_13064,6716,74,3395.0
sisso_13065,31194,2555,16874.5
sisso_13066,4764,40579,22671.5
sisso_13067,36389,37250,36819.5
sisso_13068,30196,41637,35916.5
sisso_13069,44130,39054,41592.0
sisso_13070,13716,10584,12150.0
sisso_13071,26601,24221,25411.0
sisso_13072,25698,27154,26426.0
sisso_13073,21028,8572,14800.0
sisso_13074,1765,46067,23916.0
sisso_13075,9997,4200,7098.5
sisso_13076,4109,42795,23452.0
sisso_13077,49996,39895,44945.5
sisso_13078,24604,14729,19666.5
sisso_13079,17949,49433,33691.0
sisso_13080,10401,4843,7622.0
sisso_13081,10206,49434,29820.0
sisso_13082,2823,45540,24181.5
sisso_13083,15020,75,7547.5
sisso_13084,45755,39806,42780.5
sisso_13085,1504,45366,23435.0
sisso_13086,1909,47277,24593.0
sisso_13087,12559,5570,9064.5
sisso_13088,12121,8050,10085.5
sisso_13089,2201,25416,13808.5
sisso_13090,43519,29652,36585.5
sisso_13091,24984,31974,28479.0
sisso_13092,46738,46827,46782.5
sisso_13093,47897,19119,33508.0
sisso_13094,49553,15544,32548.5
sisso_13095,22557,7544,15050.5
sisso_13096,29079,31661,30370.0
sisso_13097,49633,10235,29934.0
sisso_13098,22730,30944,26837.0
sisso_13099,24248,29408,26828.0
sisso_13100,44228,40211,42219.5
sisso_13101,32704,49435,41069.5
sisso_13102,43520,18364,30942.0
sisso_13103,47834,8725,28279.5
sisso_13104,28544,10772,19658.0
sisso_13105,22731,14730,18730.5
sisso_13106,46739,45367,46053.0
sisso_13107,2952,40090,21521.0
sisso_13108,33392,44999,39195.5
sisso_13109,43148,42005,42576.5
sisso_13110,25699,30314,28006.5
sisso_13111,23895,28631,26263.0
sisso_13112,24414,28632,26523.0
sisso_13113,21331,11335,16333.0
sisso_13114,21175,10406,15790.5
sisso_13115,22558,8726,15642.0
sisso_13116,43149,10585,26867.0
sisso_13117,11266,3471,7368.5
sisso_13118,41144,48917,45030.5
sisso_13119,28892,17643,23267.5
sisso_13120,22732,12084,17408.0
sisso_13121,4488,11896,8192.0
sisso_13122,42216,46068,44142.0
sisso_13123,29817,30945,30381.0
sisso_13124,10402,5571,7986.5
sisso_13125,27481,11525,19503.0
sisso_13126,18896,5087,11991.5
sisso_13127,33874,3354,18614.0
sisso_13128,49406,34973,42189.5
sisso_13129,22559,12618,17588.5
sisso_13130,1256,45826,23541.0
sisso_13131,10403,6259,8331.0
sisso_13132,46740,43236,44988.0
sisso_13133,4922,19368,12145.0
sisso_13134,9616,35703,22659.5
sisso_13135,9617,16329,12973.0
sisso_13136,41926,48463,45194.5
sisso_13137,23557,30524,27040.5
sisso_13138,4765,45368,25066.5
sisso_13139,15264,43420,29342.0
sisso_13140,1625,42583,22104.0
sisso_13141,36960,48527,42743.5
sisso_13142,23733,35079,29406.0
sisso_13143,33875,6102,19988.5
sisso_13144,29818,40994,35406.0
sisso_13145,23239,29865,26552.0
sisso_13146,44838,35274,40056.0
sisso_13147,42621,47575,45098.0
sisso_13148,43521,47397,45459.0
sisso_13149,10849,33497,22173.0
sisso_13150,34645,26579,30612.0
sisso_13151,8842,30735,19788.5
sisso_13152,17950,811,9380.5
sisso_13153,23734,13377,18555.5
sisso_13154,15265,14124,14694.5
sisso_13155,3518,46069,24793.5
sisso_13156,34646,12430,23538.0
sisso_13157,4110,49436,26773.0
sisso_13158,2202,43421,22811.5
sisso_13159,6717,10063,8390.0
sisso_13160,23735,42796,33265.5
sisso_13161,40980,4616,22798.0
sisso_13162,6215,5695,5955.0
sisso_13163,23065,15163,19114.0
sisso_13164,20552,11140,15846.0
sisso_13165,43404,38565,40984.5
sisso_13166,5614,37947,21780.5
sisso_13167,22560,3879,13219.5
sisso_13168,9618,267,4942.5
sisso_13169,42217,3880,23048.5
sisso_13170,35406,2948,19177.0
sisso_13171,2824,2177,2500.5
sisso_13172,13717,8727,11222.0
sisso_13173,8667,41473,25070.0
sisso_13174,14465,49437,31951.0
sisso_13175,6872,40456,23664.0
sisso_13176,11918,40741,26329.5
sisso_13177,48496,46910,47703.0
sisso_13178,19777,34974,27375.5
sisso_13179,33876,31841,32858.5
sisso_13180,47966,41146,44556.0
sisso_13181,39676,33387,36531.5
sisso_13182,49935,13560,31747.5
sisso_13183,12789,2041,7415.0
sisso_13184,34378,19618,26998.0
sisso_13185,31617,42584,37100.5
sisso_13186,22733,28326,25529.5
sisso_13187,34907,47129,41018.0
sisso_13188,9434,1965,5699.5
sisso_13189,7200,5963,6581.5
sisso_13190,35407,23607,29507.0
sisso_13191,6366,39454,22910.0
sisso_13192,40810,34599,37704.5
sisso_13193,22734,13948,18341.0
sisso_13194,33164,21595,27379.5
sisso_13195,19778,23057,21417.5
sisso_13196,13490,8400,10945.0
sisso_13197,22244,35897,29070.5
sisso_13198,32705,38365,35535.0
sisso_13199,23066,28013,25539.5
sisso_13200,42494,48348,45421.0
sisso_13201,26782,10064,18423.0
sisso_13202,13491,4499,8995.0
sisso_13203,7924,29166,18545.0
sisso_13204,39677,48149,43913.0
sisso_13205,40466,4500,22483.0
sisso_13206,40090,3253,21671.5
sisso_13207,13492,49438,31465.0
sisso_13208,10404,49439,29921.5
sisso_13209,35161,29653,32407.0
sisso_13210,8104,32395,20249.5
sisso_13211,12790,42797,27793.5
sisso_13212,44315,41474,42894.5
sisso_13213,3815,43422,23618.5
sisso_13214,1766,43237,22501.5
sisso_13215,22887,40457,31672.0
sisso_13216,9041,42006,25523.5
sisso_13217,23240,21272,22256.0
sisso_13218,24415,26292,25353.5
sisso_13219,8449,10955,9702.0
sisso_13220,7201,20173,13687.0
sisso_13221,23241,30315,26778.0
sisso_13222,26419,20446,23432.5
sisso_13223,29637,28633,29135.0
sisso_13224,8450,31333,19891.5
sisso_13225,26602,28634,27618.0
sisso_13226,7738,5696,6717.0
sisso_13227,26955,43238,35096.5
sisso_13228,40811,37948,39379.5
sisso_13229,36961,49953,43457.0
sisso_13230,39487,20995,30241.0
sisso_13231,49554,14540,32047.0
sisso_13232,23242,39896,31569.0
sisso_13233,31195,15937,23566.0
sisso_13234,34908,19899,27403.5
sisso_13235,11710,31518,21614.0
sisso_13236,26783,22455,24619.0
sisso_13237,6718,25128,15923.0
sisso_13238,41776,965,21370.5
sisso_13239,37512,26864,32188.0
sisso_13240,8105,6572,7338.5
sisso_13241,30588,12431,21509.5
sisso_13242,11047,48754,29900.5
sisso_13243,29432,41147,35289.5
sisso_13244,11919,42364,27141.5
sisso_13245,20706,39247,29976.5
sisso_13246,26784,15164,20974.0
sisso_13247,37234,20174,28704.0
sisso_13248,34124,15545,24834.5
sisso_13249,24819,32537,28678.0
sisso_13250,25700,28014,26857.0
sisso_13251,23406,32120,27763.0
sisso_13252,6719,31842,19280.5
sisso_13253,5766,24222,14994.0
sisso_13254,23067,24545,23806.0
sisso_13255,4766,9725,7245.5
sisso_13256,8288,9218,8753.0
sisso_13257,46270,34975,40622.5
sisso_13258,25162,11897,18529.5
sisso_13259,40641,27155,33898.0
sisso_13260,16918,10956,13937.0
sisso_13261,26420,39148,32784.0
sisso_13262,9816,10236,10026.0
sisso_13263,49042,25129,37085.5
sisso_13264,49239,33160,41199.5
sisso_13265,267,1949,1108.0
sisso_13266,39678,2383,21030.5
sisso_13267,7027,43423,25225.0
sisso_13268,23068,39360,31214.0
sisso_13269,28545,17403,22974.0
sisso_13270,23407,12992,18199.5
sisso_13271,12791,48559,30675.0
sisso_13272,5900,40580,23240.0
sisso_13273,5469,49440,27454.5
sisso_13274,19608,8401,14004.5
sisso_13275,20868,5697,13282.5
sisso_13276,26956,42365,34660.5
sisso_13277,46037,26865,36451.0
sisso_13278,30781,34125,32453.0
sisso_13279,12792,14125,13458.5
sisso_13280,39888,3794,21841.0
sisso_13281,21332,10773,16052.5
sisso_13282,2953,43630,23291.5
sisso_13283,804,48705,24754.5
sisso_13284,13718,4289,9003.5
sisso_13285,15488,4290,9889.0
sisso_13286,11711,3881,7796.0
sisso_13287,14202,4747,9474.5
sisso_13288,8289,49441,28865.0
sisso_13289,31835,14953,23394.0
sisso_13290,48754,8728,28741.0
