job,crystal_id,framework,stoichiometry,energies,Si_count,formation_E
35296598,59490791,APD,O64Si32,-28.219252462930243,32,12.11809605047399
35296686,59490915,MTF,O88Si44,-38.871253342223156,44,7.954219470791641
35296605,59490804,BEA,O128Si64,-56.43640629635048,64,12.204189053571707
35296684,59490912,MRT,O48Si24,-21.162853363645684,24,12.291596056014255
35296635,59490846,FAR,O168Si84,-74.06913140578602,84,12.318331367454265
78516462,59490880,JBW,O12Si6,-5.294238048087031,6,10.749242823596509
35296732,59490980,SOR,O96Si48,-42.33172297637105,48,11.962519740140387
35296701,59490940,PON,O48Si24,-21.164274255800166,24,12.136156362857102
35296716,59490958,SAO,O112Si56,-49.32455255282655,56,14.890776976770372
35296658,59490876,IWR,O112Si56,-49.3747767496223,56,12.53606914226924
35323183,59490924,NES,O272Si136,-119.76182451226666,136,15.399941477627118
35296699,59490938,PCS,O128Si64,-56.455208717510416,64,11.432849045510672
35296614,59490815,CDO,O72Si36,-31.702162503869793,36,15.36325199743046
35296718,59490960,SAT,O144Si72,-63.48709796091394,72,12.344913037515715
35296725,59490970,SFH,O128Si64,-56.440626166852304,64,12.031075446594778
35296602,59490800,AVL,O84Si42,-37.00259329840866,42,14.31698742383863
35323172,59490859,IFU,O260Si128,-112.76300226692503,128,14.456587743311987
78516491,201983851,ITQ-55,O152Si76,-66.97464654325819,76,13.709911126417277
35296671,59490895,LTA,O48Si24,-21.142103147571042,24,14.561583408264937
35296736,59490985,SSY,O56Si28,-24.68800623302775,28,12.478133896867309
35323184,59490943,PSI,O288Si144,-127.19826513409112,144,8.259539692995222
35296759,59491194,YUG,O32Si16,-14.115483212167025,16,11.157002050208783
78516472,59490927,NPT,O72Si36,-31.590103713569736,36,23.53576245144606
35323178,59490879,IWW,O224Si112,-98.76869774409417,112,12.087290404042482
35296596,59490788,AHT,O48Si24,-21.117245480435603,24,17.280908826416248
78516454,59490803,BCT,O16Si8,-7.056052189490679,8,11.71144750050456
35296664,59490887,JSW,O96Si48,-42.32768280337114,48,12.1835088030423
35296703,59490942,POS,O128Si64,-56.41532459453408,64,13.06903299631072
35296661,59490884,JSN,O32Si16,-14.106743860301528,16,12.591075179629582
35296652,59490868,ITE,O128Si64,-56.4464028064005,64,11.79409781707738
78516451,59490793,ASV,O40Si20,-17.630335453334567,20,12.997288900431831
35296696,59490934,OWE,O32Si16,-14.107680551656845,16,12.437369970834347
