dft_job_id,dft_crystal_id,framework,stoichiometry,Si_count,dft_formation_energy,dreiding_formation_energy
35296704,59490944,PUN,O72Si36,36,19.52038572609257,-26.92059092652758
78516488,137469541,ETV,O28Si14,14,12.128671422588956,59.17586787723036
35323177,59490878,IWV-supercell,O304Si152,152,13.960177715782208,
35296586,59490777,AET,O144Si72,72,11.893430652474231,-20.75118428273742
35296599,59490796,ATS,O48Si24,24,11.933595372150858,-37.24734086465339
35323185,59490962,SBE,O256Si128,128,13.920166149528514,-8.321665381086621
35296647,59490861,IFY,O96Si48,48,14.499854937432366,0.0766620601600268
35296648,59490864,IRN,O184Si92,92,13.595722275234634,-8.525104060229207
35296740,59490990,STW,O120Si60,60,14.827654804840074,11.989145017214481
35296634,59490845,EZT,O96Si48,48,12.15320742878674,-5.595091399713657
78516489,139497436,BEB,O128Si64,64,12.248994814096848,75.79233073449039
78516486,137469539,PTY,O20Si10,10,12.396943178278372,72.63046312898354
35323174,59490872,ITR,O224Si112,112,11.043015073376909,-1.1755633502686829
78516480,59490997,THO,O20Si10,10,17.102981461500097,4.88339387401908
35323188,59490982,SOV,O256Si128,128,13.32964595524283,-0.9693629014152121
35296645,59490857,IFR,O64Si32,32,11.165002582448434,-8.676534697445867
35296689,59490921,MWW,O144Si72,72,12.35267316385989,6.187546082801605
35296628,59490837,EPI,O48Si24,24,11.601464612592766,-8.137372481849317
35296742,59490992,SVV,O112Si56,56,11.126194263009202,-19.785651749598674
35296630,59490840,ETL,O144Si72,72,10.737203921912515,-8.30326430943043
35296705,59490946,PWO,O40Si20,20,12.608485110630385,7.119690506295682
35296688,59490918,MTW,O56Si28,28,10.42687034767095,-25.740145321057003
35296710,59490951,RSN,O72Si36,36,16.776513183916617,-9.725798886077223
35296739,59490989,STT,O128Si64,64,12.218515148043254,-2.9078385987476243
78516496,203995252,PTT,O48Si24,24,12.612951938530378,90.99452370158879
35296656,59490873,ITT,O92Si46,46,15.320807925198707,4.755932020133479
78516459,59490833,EDI,O10Si5,5,17.26338858857741,0.9313786008393753
35296750,59491135,UOE,O24Si12,12,11.972061293632647,-3.0301083295402194
35296728,59490973,SFS,O112Si56,56,10.68738864330872,0.9703241409676061
78516485,137469538,SYT,O264Si128,128,14.85483061316992,
35296680,59490906,MFI,O192Si96,96,9.922021073428626,-2.9993623110789804
35296715,59490957,SAF,O128Si64,64,8.909967107321313,-21.993673171398683
35296738,59490987,STI,O144Si72,72,11.877909327726073,2.0909430775280917
35323182,59490916,MTN,O272Si136,136,14.288141587329314,-7.666215170282305
78516467,59490919,MVY,O24Si12,12,18.93598673780485,-11.467614605212104
35296668,59490891,LIO,O72Si36,36,12.617473977472113,-21.738661913042076
35296754,59491185,UTL,O152Si76,76,12.366386530114529,8.96768153965336
35323186,59490965,SBT,O288Si144,144,14.250698721959814,-3.8515440038038586
35296621,59490825,CZP,O48Si24,24,24.085740517711294,-4.863164121000901
35296731,59490979,SOF,O80Si40,40,14.239074888044192,-4.363135715362399
35296655,59490871,ITN,O109Si54,54,10.552744099090804,4.923489934192381
78516482,59491187,VET,O34Si17,17,7.147591921214146,-17.142537404094522
78516450,59490792,AST,O80Si40,40,14.138416726998294,-21.397559813989584
35296748,59491053,UEI,O96Si48,48,11.811149998617626,-2.720695402890238
35296632,59490843,EWS,O192Si96,96,13.157179423016816,2.686622490587047
35296615,59490816,CFI,O64Si32,32,13.047070692121572,-19.93775051367957
35296617,59490818,CGS,O64Si32,32,13.31493400996285,-18.753389220908023
35296698,59490937,PCR,O120Si60,60,9.628737286015406,3.5165599979619526
78516453,59490795,ATO,O72Si36,36,9.658569623709472,12.660472658915841
35296633,59490844,EWT,O146Si70,70,-5.547769649967797,15.620809536680962
35296636,59490848,FER,O72Si36,36,10.927389424591237,10.964495796583122
35296650,59490866,IRY,O154Si76,76,16.335128745379663,17.208828917796144
78516476,59490955,RWR,O64Si32,32,11.256272414713612,0.6484960505207429
35296666,59490889,LAU,O48Si24,24,11.000828405314786,-18.16379423505738
35296637,59490849,FRA,O120Si60,60,12.029513121183491,-59.6471713453238
35296712,59490953,RTH,O64Si32,32,11.76457536073612,-8.329856109381254
35296627,59490836,EON,O120Si60,60,11.64011289132118,6.110786249522228
35323168,59490834,EEI,O400Si200,200,11.646019968395915,-4.419215311614486
35296711,59490952,RTE,O48Si24,24,10.90220690455905,3.106199658999291
35296646,59490860,IFW,O128Si64,64,11.727313636300156,2.872315929355463
35296752,59491182,UOZ,O80Si40,40,13.010079283358673,-17.291330142507753
35296665,59490888,KFI,O192Si96,96,13.533427228906206,-0.3972913637224047
35296587,59490778,AFG,O96Si48,48,12.450334139895377,-52.344432204278846
78516446,59490772,ABW,O16Si8,8,12.23994473268248,-47.937810894048106
35296745,59490996,TER,O160Si80,80,10.961792959155302,1.024581997765071
35323179,59490896,LTF,O216Si108,108,12.16621280735189,-18.5078527511686
35296672,59490897,LTJ,O32Si16,16,12.532138270197636,-13.470271990561056
35296697,59490935,PAR,O68Si32,32,4.108902746123589,-14.915187275919182
35296582,59490771,ZON,O64Si32,32,12.575986142598184,-11.5019819786162
78516464,59490894,LOV,O36Si18,18,16.7068941238513,-9.74949404295801
44685387,143738221,CHA_12T,O24Si12,12,13.468676466110058,
35296609,59490809,BOZ,O184Si92,92,24.970301900049996,-40.376909260130695
35296651,59490867,ISV,O128Si64,64,14.258224208076747,6.976160622708488
35296675,59490901,MAZ,O72Si36,36,12.157562380623082,-6.870225698863551
35296589,59490781,AFO,O80Si40,40,8.963182316915802,-20.38232188366456
